YEAR,MONTH_NUM,PERIOD_ID,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,AVG_DIST_DESCENT
2015,1,201501,Albania,688,3196.12267693187,4.6455271467033
2015,1,201501,Austria,12342,122579.08234516351,9.931865365837263
2015,1,201501,Belgium,11656,220328.81265421794,18.902609184473057
2015,1,201501,Bosnia and Herzegovina,372,1845.173704876145,4.960144367946627
2015,1,201501,Bulgaria,1945,14163.746986972033,7.282132126977909
2015,1,201501,Croatia,1904,10915.00886235055,5.732672721822769
2015,1,201501,Cyprus,321,829.9683695294317,2.5855712446399743
2015,1,201501,Czech Republic,4490,57078.34849408299,12.712327058815811
2015,1,201501,Denmark,11992,65558.80953508685,5.46687871373306
2015,1,201501,Estonia,640,604.157733002773,0.943996457816833
2015,1,201501,Finland,8588,10137.865888764907,1.1804687807131937
2015,1,201501,France,63205,1018045.3691243186,16.10703851157849
2015,1,201501,Germany,73790,834796.7822703953,11.313142461992076
2015,1,201501,Greece,9686,28948.90469271167,2.9887368049464866
2015,1,201501,Guernsey,389,1438.6894878401024,3.698430560000263
2015,1,201501,Hungary,3333,33677.52211316788,10.10426706065643
2015,1,201501,Ireland,8489,52114.31070343989,6.139040016897148
2015,1,201501,Isle of Man,705,3007.45186874225,4.265889175520922
2015,1,201501,Italy,48082,403789.8074185296,8.397941171717681
2015,1,201501,Jersey,401,1046.93227269252,2.6108036725499253
2015,1,201501,Latvia,1602,1543.58439129719,0.9635358247797691
2015,1,201501,Lithuania,1719,6417.4826711132755,3.733265079181661
2015,1,201501,Luxembourg,2015,27633.1932883059,13.71374356739747
2015,1,201501,Macedonia,462,917.9644534380676,1.9869360464027437
2015,1,201501,Malta,1182,5460.77660012584,4.619946362204602
2015,1,201501,Moldova,783,736.061244366842,0.9400526747980101
2015,1,201501,Montenegro,495,1443.329710574793,2.915817597120794
2015,1,201501,Morocco,1382,3284.8728429056073,2.3768978602790214
2015,1,201501,Netherlands,18489,226704.37165278223,12.261581029411122
2015,1,201501,Norway,29530,115666.89913608361,3.916928517984545
2015,1,201501,Poland,2880,10540.526473083299,3.6599050253761454
2015,1,201501,Portugal,10055,47762.102213667444,4.750084755213073
2015,1,201501,Romania,5301,39487.2542258893,7.449019850196057
2015,1,201501,Serbia,2350,25021.7857627396,10.647568409676426
2015,1,201501,Slovakia,828,5454.981203708933,6.588141550373107
2015,1,201501,Slovenia,940,8079.532130584796,8.595246947430633
2015,1,201501,Spain,53479,295593.8593023817,5.5272884553260475
2015,1,201501,Sweden,18644,85910.26458673405,4.607930947582817
2015,1,201501,Switzerland,19637,315828.702342803,16.083347881183634
2015,1,201501,Ukraine,3994,16362.47591138353,4.09676412403193
2015,1,201501,United Kingdom,77451,1281655.2508353472,16.54794968219064
2015,1,201501,Western Sahara,149,356.8535021611885,2.3949899473905267
2015,2,201502,Albania,617,3868.95237921738,6.2705873245014265
2015,2,201502,Austria,11907,130543.21107197246,10.963568579152806
2015,2,201502,Belgium,11463,212719.2413628353,18.557030564672015
2015,2,201502,Bosnia and Herzegovina,310,1277.7095542759937,4.121643723470948
2015,2,201502,Bulgaria,1747,11531.678009513511,6.600846027197202
2015,2,201502,Croatia,1765,11699.800865474246,6.628782360042066
2015,2,201502,Cyprus,279,785.978388755309,2.817126841416878
2015,2,201502,Czech Republic,4171,51499.738590547546,12.347096281598548
2015,2,201502,Denmark,12089,55073.611950922364,4.555679704766512
2015,2,201502,Estonia,627,473.654324999678,0.755429545454032
2015,2,201502,Faroe Islands,2,154.427645788337,77.2138228941685
2015,2,201502,Finland,8908,10356.019133782647,1.162552664322255
2015,2,201502,France,61092,948462.3957904965,15.525148886769077
2015,2,201502,Germany,72917,867954.7374673086,11.903324841495243
2015,2,201502,Greece,8608,27355.64782212381,3.177933064837803
2015,2,201502,Guernsey,426,1745.9801440824056,4.098544939160576
2015,2,201502,Hungary,3157,33847.46347549928,10.721401164237973
2015,2,201502,Ireland,8105,44429.2300750612,5.481706363363504
2015,2,201502,Isle of Man,715,3261.04678662536,4.560904596678825
2015,2,201502,Italy,44664,358863.22024304845,8.034730884897199
2015,2,201502,Jersey,375,1580.58001968801,4.21488005250136
2015,2,201502,Latvia,1419,1122.54512497621,0.7910818357830938
2015,2,201502,Lithuania,1610,5070.498892717249,3.149378194234316
2015,2,201502,Luxembourg,1996,26220.2251838937,13.136385362672195
2015,2,201502,Macedonia,424,1146.75151158408,2.704602621660566
2015,2,201502,Malta,1136,6947.83682063504,6.116053539291408
2015,2,201502,Moldova,642,638.968485408007,0.9952780146542166
2015,2,201502,Montenegro,436,1632.696482305513,3.7447167025355803
2015,2,201502,Morocco,1338,2791.953808087675,2.086662038929503
2015,2,201502,Netherlands,17963,196737.59134627506,10.952379410247456
2015,2,201502,Norway,28513,97542.52014336745,3.4209841175382265
2015,2,201502,Poland,2793,12687.087711982173,4.54245890153318
2015,2,201502,Portugal,9177,42399.48431084129,4.620190074189963
2015,2,201502,Romania,5060,33658.0516377339,6.651788861212234
2015,2,201502,Serbia,2054,21465.505264422365,10.450586788910597
2015,2,201502,Slovakia,908,5314.77762740971,5.85327932534109
2015,2,201502,Slovenia,876,6830.974852057831,7.7979164977829125
2015,2,201502,Spain,50966,309300.9271350741,6.068769908077426
2015,2,201502,Sweden,19903,75978.43698446179,3.817436415839913
2015,2,201502,Switzerland,17980,295450.91115443606,16.432197505808457
2015,2,201502,Ukraine,3780,16421.653739885554,4.344352841239565
2015,2,201502,United Kingdom,76169,1185393.239636797,15.562672998684464
