YEAR,Country_code,DIST_FLOWN_KM,DIST_DIRECT_KM,HFE_EFF
2014,AT,708.07033,701.165466,1.0098476954938906
2014,BE,566.9817,559.19563426,1.0139236883533678
2014,BG,639.74544,638.28874152,1.0022821935986699
2014,CY,219.75738,210.4052282,1.0444482861952
2014,DE,3353.983954,3283.18486,1.0215641509750384
2014,DK,388.439522,386.26018248,1.005642154223631
2014,EE,125.965264,125.66302298000001,1.0024051706924804
2014,ES,2706.213354,2648.04378714,1.021966995841419
2014,FI,170.67087,169.51676609999998,1.0068081991330533
2014,FR,5119.195882,4984.77898122,1.0269654685366014
2014,GR,1198.230134,1183.80033236,1.0121893880627935
2014,HR,478.626712,475.98164464,1.005557078491967
2014,HU,568.913006,566.61087054,1.0040629920456803
2014,IE,301.735154,301.03207642,1.0023355570222325
2014,IT,2292.00992,2241.45435748,1.0225548034700283
2014,LT,103.431342,103.28957576,1.0013725125595385
2014,LV,141.77411,141.35386066,1.0029730305068274
2014,MT,139.792054,139.40842146,1.0027518605833297
2014,PL,704.20232,697.93263548,1.008983223023649
2014,RO,918.629254,914.42518608,1.0045974979517156
2014,SE,840.90832,835.9345727000001,1.005949924147694
2014,SI,130.673464,130.29230786,1.0029253924983013
2014,SK,266.170096,264.99066804,1.004450828282836
2015,AT,369.513706,366.85350601,1.0072513958471683
2015,BE,304.832087,300.61175383999995,1.0140391488559237
2015,BG,372.923068,372.09387297,1.0022284565542061
2015,CY,116.307514,110.84581153,1.0492729711173778
2015,DE,1752.033581,1716.74809472,1.020553677262566
2015,DK,203.816009,202.75718741,1.0052221161850057
2015,EE,70.559154,70.38556412,1.002466271062402
2015,ES,1449.601128,1418.5571502799999,1.0218841924795716
2015,FI,83.334348,82.91476523,1.0050604107583987
2015,FR,2789.676964,2716.00860522,1.0271237575015095
2015,GR,631.69019,624.5654563200001,1.0114075051828508
2015,HR,249.505826,248.24367466,1.00508432427021
2015,HU,324.599366,323.80366805,1.0024573469312186
2015,IE,189.497336,189.09832367,1.0021100786207724
2015,IT,1165.034096,1139.2927237899999,1.0225941688843303
2015,LT,67.200771,67.10106288,1.0014859395026023
2015,LV,83.786055,83.54219513,1.0029190024229138
2015,MT,80.438254,80.13557340000001,1.0037771065602683
2015,PL,479.340895,475.37876221000005,1.0083346861596851
2015,RO,509.279071,507.17000377,1.0041585015168928
2015,SE,434.187224,431.74814547000005,1.0056493086434564
2015,SI,66.651394,66.50050801,1.0022689449226059
2015,SK,136.968182,136.39941311,1.0041698778391466
2016,AT,566.597552,563.37933229,1.0057123496116174
2016,BE,474.735924,467.62433812,1.0152079036531565
2016,BG,530.062527,528.67950685,1.0026159897103641
2016,CY,314.142821,301.76049101999996,1.0410336354442746
2016,DE,2738.790995,2679.01664088,1.0223120503276775
2016,DK,309.446484,307.81230476999997,1.0053090120332295
2016,EE,131.387293,131.03407407,1.002695626557496
2016,ES,2362.19115,2310.33575279,1.022444961580748
2016,FI,126.896192,126.35768460999999,1.0042617700036376
2016,FR,4447.530503,4316.43866265,1.0303703702509046
2016,GR,915.118743,903.09778703,1.0133108021552495
2016,HR,367.770259,365.91927342,1.0050584533651372
2016,HU,489.14485,488.05241558,1.0022383547035656
2016,IE,279.720894,279.13537593,1.0020976132747388
2016,IT,1796.027586,1754.9608585199999,1.0234003666125253
2016,LT,102.753081,102.62007919,1.0012960602939485
2016,LV,128.83346,128.54112532000002,1.0022742502002548
2016,MT,127.204226,126.80107002,1.0031794367345355
2016,PL,832.874922,825.89874965,1.0084467646342319
2016,RO,749.878257,745.81762211,1.0054445413592026
2016,SE,666.528986,662.7702604300001,1.0056712345052436
2016,SI,111.171649,110.95074824,1.001990980353933
2016,SK,205.481647,204.87331225999998,1.002969321544565
2017,AT,602.04356,599.9120317200001,1.0035530680621436
2017,BE,489.57732,482.72894551999997,1.0141867906276532
2017,BG,533.307958,532.10347412,1.0022636271676144
2017,CY,356.390782,343.75988838,1.0367433608369034
2017,DE,2890.490603,2828.37025343,1.0219633018324479
2017,DK,318.769964,317.08694887,1.005307740151393
2017,EE,139.877686,139.47572462,1.002881945091844
2017,ES,2536.523152,2483.3812254299996,1.0213990208292723
2017,FI,138.36567,137.77928113,1.0042560018109452
2017,FR,4686.594553,4555.25060179,1.0288335291934076
2017,GR,1005.373355,992.6101067100001,1.0128582695297186
2017,HR,378.029553,376.75323003,1.0033876895226577
2017,HU,514.185189,513.10935452,1.0020966962900266
2017,IE,276.337546,275.63876351,1.0025351386760761
2017,IT,1852.139834,1820.1065801500001,1.0175996582833957
2017,LT,110.532624,110.35842862999999,1.0015784509816104
2017,LV,141.428203,141.09960267,1.0023288536876218
2017,MT,127.175091,126.94539904999999,1.001809375934212
2017,PL,864.50139,857.46710402,1.008203563666783
2017,RO,792.063277,787.82950725,1.0053739669700599
2017,SE,703.370024,699.4570432200001,1.0055943117850188
2017,SI,116.529584,116.41913151,1.000948748616893
2017,SK,215.612669,215.06365504,1.0025527974956898
2018,AT,645.366535,643.0463542,1.0036081081633477
2018,BE,497.381236,490.41466671,1.0142054668485672
2018,BG,607.301992,605.8937600600001,1.002324222549941
2018,CY,391.819838,379.66231231,1.0320219450174797
2018,DE,3000.247064,2934.49605736,1.0224062344452942
2018,DK,326.990491,325.24759609000006,1.0053586711506937
2018,EE,150.539139,150.04008373,1.0033261463043308
2018,ES,2675.970488,2617.91374398,1.022176721503336
2018,FI,152.008274,151.33162606,1.0044712923373447
2018,FR,4803.086666,4667.16664887,1.0291225977891552
2018,GR,1099.178914,1085.46975367,1.0126297027472657
