Year,As,BC,CO,Cd,Cr,Cu,Hg,Indeno,NH3,NMVOC,NOx,Ni,PCB,PM10,PM2.5,Pb,SOx,Se,TSP,Zn,benzo(a),benzo(b),benzo(k),dioxin,total PAH,rolling_As,rolling_BC,rolling_CO,rolling_Cd,rolling_Cr,rolling_Cu,rolling_Hg,rolling_Indeno,rolling_NH3,rolling_NMVOC,rolling_NOx,rolling_Ni,rolling_PCB,rolling_PM10,rolling_PM2.5,rolling_Pb,rolling_SOx,rolling_Se,rolling_TSP,rolling_Zn,rolling_benzo(a),rolling_benzo(b),rolling_benzo(k),rolling_dioxin,rolling_total PAH
2013,2.4144962634410255e-06,0.00380206111416348,0.48850769581349696,8.412157647845394e-06,0.0001335259871009289,0.00042206658760923495,3.569670801910459e-05,2.9213900674490623e-05,0.0020009167277339874,0.02428914671253024,0.6404414442972337,2.509027577067077e-05,2.0840323991405855e-10,0.009205079437135447,0.009129649015541258,0.059482751555672876,0.039228897697390235,0.0001016101946972236,0.009148635060451167,0.0025675826535275998,1.4782287039586766e-05,0.0001110627499825757,1.305625572775433e-05,2.6359969316554607e-05,0.00017277789477611083,2.4494337549734573e-06,0.004400950769357075,0.5271576689857039,8.877803542448727e-06,0.00013553629122322724,0.0004099185199020241,3.62772613482385e-05,2.9240210134004213e-05,0.0019447206863171605,0.025410398581302004,0.6329533735053091,2.524208343627504e-05,2.113313294776881e-10,0.009403500100867662,0.009325443462424197,0.06509183633208487,0.03936694450847717,0.0001049615994259956,0.00935873656329379,0.0026492674596447024,1.3468293452694253e-05,0.00010014392150577369,1.1869948953657979e-05,2.5290887094651778e-05,0.0001597409908872752
2014,2.46290368674611e-06,0.0036988102899907812,0.48248308966723985,8.208499963178617e-06,0.0001323420907087923,0.0004187416222197545,3.565564375581939e-05,2.8227828769285417e-05,0.0018458549043743374,0.023931339486377903,0.6296351409688213,2.4745121336501737e-05,1.2423847000381758e-10,0.008946296606589051,0.008875803037821779,0.050900259180560604,0.038175430224795706,9.922034202403602e-05,0.008855246496175188,0.002600609743715248,1.4039172167803066e-05,0.00010594252706361771,1.241402737619452e-05,2.5111903411906363e-05,0.00016545046083375975,2.3548387882166032e-06,0.004199771611174696,0.49978396983307916,8.37547667965279e-06,0.00013071108965246825,0.0004007356178639651,3.50665411201427e-05,2.815059153460214e-05,0.0018518582220243352,0.024210670197584386,0.6126671668267998,2.4338350778714486e-05,1.8070864045337822e-10,0.008982258536336147,0.008909060635425166,0.05865634612693187,0.03781117191064235,0.00010030902035747081,0.008936316301051399,0.0025166130145615456,1.3169078944079105e-05,9.830349471379454e-05,1.161782715052301e-05,2.4481067180130133e-05,0.00015602558298450492
2015,2.543898031198045e-06,0.0036305193267052466,0.4834710932961522,8.055789430943001e-06,0.00013238764359831915,0.00041507847005617306,3.6059544831025735e-05,2.7114446634925047e-05,0.0017584954200549412,0.023312797805677726,0.6161716065529965,2.4371601439470402e-05,1.3896567264466308e-10,0.008829661828439332,0.008763615340732897,0.048759419125046236,0.037530782026132074,9.72425140861303e-05,0.008759567460112428,0.002649331105112082,1.3072109294494e-05,9.815452313435414e-05,1.1550776916374519e-05,2.36432776230427e-05,0.00015540340056081908,2.282446322668239e-06,0.004020142185269252,0.47409043765392794,7.939477518092388e-06,0.00012618403670695017,0.0003919336110153882,3.3860745379438664e-05,2.6971307833085557e-05,0.0017648005350745584,0.02301432829008599,0.5925337349858055,2.3473125871024833e-05,1.603872652108642e-10,0.00860450303191623,0.008535405840288873,0.05357338440346941,0.036372859484823536,9.561841884676014e-05,0.008559786952761215,0.0024202372582563434,1.2875614105663426e-05,9.641895388674433e-05,1.1366391283048855e-05,2.3674489593122094e-05,0.00015231563245730388
2016,2.5242761080303825e-06,0.0036280084140254236,0.5278685256795052,8.021697296924926e-06,0.00013447677638225148,0.00041387740588276294,3.651298868313182e-05,2.7048397698654312e-05,0.0017788602094974495,0.023277309001712366,0.6207780913088184,2.4224606687008086e-05,1.2761154118462738e-10,0.008871922792443242,0.008809431469966333,0.04307985314082707,0.037037981051855906,9.517579708063841e-05,0.008782388182274094,0.0026080838330560826,1.2938231292797471e-05,9.743236144002758e-05,1.144429084853591e-05,2.3168146723324963e-05,0.00015488454021802037,2.224961964258584e-06,0.003390888920389683,0.45519736793376614,7.510398832831375e-06,0.00012132899382331,0.00037918944402456814,3.266706291156722e-05,2.559650494677127e-05,0.0016986864264465495,0.021797490353162165,0.5721026808901735,2.248651537553511e-05,1.4370104212882785e-10,0.008236128789022709,0.008172337883723513,0.04779483125508013,0.03477917646778935,9.042148859386477e-05,0.008170268120422017,0.002340938295155888,1.2425656811847058e-05,9.333944175389104e-05,1.097748430001074e-05,2.2519948135502143e-05,0.00014706703869889356
2017,2.681607907939555e-06,0.003667035301837571,0.522864271256791,7.97493216531102e-06,0.00013511592001548106,0.00040437309958427645,3.784009834416195e-05,2.7058610515627633e-05,0.0018041647158455448,0.022751475960576313,0.6188506624422887,2.3947682417020675e-05,7.858793878801358e-11,0.008906682879881448,0.008848608434259274,0.039323115610022746,0.036569542933987245,9.201109028302794e-05,0.00875889042793574,0.0027469317929146773,1.4092530143424352e-05,0.00010671490061177612,1.2488989145356299e-05,2.290283963447401e-05,0.0001660507530171058,2.2428937852786933e-06,0.0032608897171380333,0.44495240924913615,7.194281779934787e-06,0.00011835802645918208,0.0003669766093376101,3.2252100488628854e-05,2.4509849869859067e-05,0.0016234212045834863,0.020786586649698513,0.5532107195008595,2.1649376510359673e-05,1.1747853708011223e-10,0.007922451416979729,0.007863979407601591,0.04230320638235215,0.03333311369645369,8.5717554182938e-05,0.0078399038887433,0.0023371793214214793,1.2189479919678359e-05,9.185765215422046e-05,1.0780923443693652e-05,2.137989421139279e-05,0.00014410192429882036
2018,0.0020101895716908603,0.0036298836031044414,0.48387449950537453,8.171005150322528e-06,0.0021439436820429817,0.00240339297894893,0.0020458879301345875,2.7910520064689774e-05,0.001748890608841713,0.021731005619236098,0.6181555412303672,0.002031279977783805,1.1690807816709695e-10,0.008899604542736484,0.008847196965197451,0.03718465141852595,0.036477836637846026,0.002098130884617601,0.008714388044272433,0.004851275260604613,1.6226206804280423e-05,0.00012362867301202814,1.440442709373273e-05,2.4331235729290388e-05,0.00018662013485059992,0.0004037898641370023,0.003229407948989637,0.442907583007484,7.15376957987667e-06,0.0005203240415811104,0.0007632823490096914,0.00043422373500700385,2.430334017080601e-05,0.0015799145827412424,0.020296441720681055,0.5490246533714059,0.00042289929322590484,1.0287340235481945e-10,0.007866917014755686,0.007812632252009162,0.038392140353681665,0.03283137073990433,0.00048518306633042404,0.0077605393778542205,0.002788125895643488,1.2517926582513664e-05,9.465296172565299e-05,1.108474003988528e-05,2.1065431121726835e-05,0.00014724002598755294
2019,0.0038670233224254356,0.0035201982501088655,0.4312703244971595,8.100385787072385e-06,0.004000023568830796,0.004249250944006561,0.003902918353401437,2.7510944685546175e-05,0.0016736672913147976,0.02026224879136925,0.6108269751511899,0.003887725642844588,9.292005413987969e-11,0.008720287778213176,0.008669281233926605,0.03543970387141901,0.03607018230073488,0.003954472155432896,0.008531472981190497,0.006648227406937474,1.6800998168761823e-05,0.00012830591622165196,1.4921309002736069e-05,2.4700317321874673e-05,0.00018961280939968142,0.001161677761831921,0.0032540248748006073,0.4397236559671629,7.26654177153001e-06,0.0012808372149219027,0.0015212993016593354,0.0011931390531768572,2.463328374585737e-05,0.001576777402429468,0.019975443710805455,0.5555608407572237,0.00118084764643236,9.88464239120584e-11,0.007965558766741505,0.00791374903067281,0.03635723826419553,0.033051813030826806,0.0012429033774936083,0.007839151157642882,0.003620661790468178,1.3289547845036593e-05,0.00010077306256873458,1.177947686874581e-05,2.1425010412110914e-05,0.0001546670125891983
2020,0.02168338074532653,0.005488350828097919,1.0163296258019985,1.8143163670103155e-05,0.021911183346517406,0.02239628877519945,0.02174285127207698,3.304113657431858e-05,0.002878578489634446,0.0386178343437467,0.9711992146666161,0.021723319533567063,3.7907094246100994e-10,0.013539770629472087,0.013452453454485699,0.09816047146824988,0.05669227637977866,0.021803607609308245,0.01326628808448591,0.026891375603852578,1.8760904107840267e-05,0.00013666757769879747,1.6556993532757993e-05,3.514252324475876e-05,0.0002078944652803657,0.008680030901142147,0.011117680517651019,1.5615153014659433,2.6034758856968503e-05,0.009094352999756786,0.00992328687994932,0.008789742045069483,8.267921944699005e-05,0.005431458499607759,0.0686254240631346,1.9071327516195031,0.008746787302427832,3.631983274915267e-10,0.0272701069717366,0.027097989935779672,0.12673099616806138,0.11272590457473944,0.008951777687066972,0.026784146613016733,0.017350780874153645,4.571386270061416e-05,0.00034609839062461033,4.052634519706986e-05,7.315621216820715e-05,0.000528003996439883
2021,0.021404579338934887,0.005207876022946611,0.891152686336853,1.4014418994441668e-05,0.021608012100964104,0.02201776618972578,0.021458843655013913,3.146311663125749e-05,0.002744141109186369,0.0315267023870434,0.8709439008200273,0.021439404305863722,1.6897391589599752e-10,0.01275316552437955,0.012671808786505326,0.0829762370625107,0.051036426070079785,0.02152412965487304,0.012327350582530032,0.025582477646171713,1.4065953107235847e-05,0.00010142798006957319,1.2398437343409182e-05,2.7627599768787635e-05,0.0001621038406448207,0.010706186385439137,0.007580741756802304,1.088142210681014,1.833708123997762e-05,0.010992084597906676,0.011557446284450141,0.010782414440962,5.4891004926869764e-05,0.0037404922922982943,0.046257470111299874,1.2966541751961467,0.010752455215814239,2.4318041527219414e-10,0.018602914958132225,0.0184883580535184,0.09033148492757272,0.076392388307093,0.010888078781266094,0.018199718325903697,0.01674614938548708,3.062424011910129e-05,0.00023108602947289253,2.7146797644629672e-05,4.888302774850094e-05,0.00035110411666988825
