YEAR,MONTH_NUM,PERIOD_ID,STATE_NAME,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,AVG_DIST_CLIMB
2015,1,201501,Albania,684.0,610.709480425715,0.8928501175814547
2015,1,201501,Austria,12258.0,26663.312338891847,2.1751764022590834
2015,1,201501,Belgium,11563.0,45152.32150371158,3.9048967831628105
2015,1,201501,Bosnia and Herzegovina,448.0,527.9968643149952,1.1785644292745427
2015,1,201501,Bulgaria,1933.0,4090.549297728951,2.1161662171386193
2015,1,201501,Croatia,1919.0,1900.7988551013236,0.9905152970825032
2015,1,201501,Cyprus,105.0,269.6358624098178,2.5679605943792168
2015,1,201501,Czech Republic,4463.0,12851.949006128123,2.879665921157993
2015,1,201501,Denmark,11751.0,15555.767663106772,1.3237824579275612
2015,1,201501,Estonia,672.0,616.9291496878229,0.9180493298925937
2015,1,201501,Finland,8582.0,12909.913423807535,1.5043012612220386
2015,1,201501,France,59643.0,138321.11767123945,2.319150909096448
2015,1,201501,Germany,68033.0,171339.03475900454,2.5184694892038357
2015,1,201501,Greece,9986.0,12318.819249043696,1.2336089774728316
2015,1,201501,Guernsey,154.0,384.4084357295173,2.496158673568294
2015,1,201501,Hungary,3234.0,10670.606387342537,3.2995072317076493
2015,1,201501,Ireland,8496.0,14291.676427114222,1.6821653045096778
2015,1,201501,Isle of Man,699.0,291.300761901003,0.4167392874120215
2015,1,201501,Italy,47653.0,88172.79887312868,1.850309505658168
2015,1,201501,Jersey,196.0,574.750561763341,2.9324008253231684
2015,1,201501,Latvia,1482.0,1711.81539934075,1.1550711196631243
2015,1,201501,Lithuania,1589.0,1171.5244808286982,0.7372715423717421
2015,1,201501,Luxembourg,1779.0,3957.62215237592,2.2246330255064195
2015,1,201501,Macedonia,430.0,475.348479419209,1.105461580044672
2015,1,201501,Malta,1183.0,1936.74265470352,1.6371451011864073
2015,1,201501,Moldova,814.0,1156.1136338158,1.42028701942973
2015,1,201501,Montenegro,450.0,506.30915330081496,1.1251314517795887
2015,1,201501,Morocco,1772.0,2159.035159692119,1.2184171330090965
2015,1,201501,Netherlands,18496.0,45704.40571432756,2.4710426964926233
2015,1,201501,Norway,27791.0,23489.677737910584,0.8452260709550065
2015,1,201501,Poland,3400.0,5235.611105602537,1.5398856192948638
2015,1,201501,Portugal,10098.0,25864.193164600896,2.5613183961775494
2015,1,201501,Romania,5321.0,11764.870843955614,2.2110262815176873
2015,1,201501,Serbia,2398.0,6168.161997875977,2.5722110082885643
2015,1,201501,Slovakia,801.0,1486.2236114324169,1.8554601890542033
2015,1,201501,Slovenia,939.0,1905.562067726819,2.0293525747889447
2015,1,201501,Spain,53483.0,140798.87313372197,2.63259116230806
2015,1,201501,Sweden,18644.0,22337.756685018485,1.1981203971797085
2015,1,201501,Switzerland,19582.0,61053.58071488336,3.117841932125593
2015,1,201501,Ukraine,4049.0,4019.358133625744,0.992679213046615
2015,1,201501,United Kingdom,77959.0,254340.94281841163,3.262496220044018
2015,1,201501,Western Sahara,150.0,97.0948687741344,0.6472991251608959
2015,2,201502,Albania,615.0,555.882923428774,0.903874672241909
2015,2,201502,Austria,11865.0,25539.158225816223,2.1524785693903263
2015,2,201502,Belgium,11368.0,45487.42241249748,4.001356651345661
2015,2,201502,Bosnia and Herzegovina,400.0,366.1371158795737,0.9153427896989342
2015,2,201502,Bulgaria,1749.0,3682.773391294764,2.1056451636905456
2015,2,201502,Croatia,1769.0,2248.0809783777136,1.2708202251993859
2015,2,201502,Cyprus,83.0,407.0604225003224,4.90434243976292
2015,2,201502,Czech Republic,4135.0,11386.93899495909,2.753794194669671
2015,2,201502,Denmark,11866.0,14180.161834998089,1.1950245942186153
2015,2,201502,Estonia,695.0,653.4959589490002,0.9402819553223024
2015,2,201502,Faroe Islands,1.0,0.0,0.0
2015,2,201502,Finland,8871.0,11902.985181846758,1.3417861776402613
2015,2,201502,France,57423.0,133616.0820877512,2.326873937059213
2015,2,201502,Germany,67292.0,166597.54774058156,2.475740767707626
2015,2,201502,Greece,8809.0,10909.876631863153,1.2384920685507042
2015,2,201502,Guernsey,156.0,310.612538377732,1.9911060152418718
2015,2,201502,Hungary,3122.0,9249.721120438779,2.962755003343619
2015,2,201502,Ireland,8079.0,12448.31994288729,1.5408243523811476
2015,2,201502,Isle of Man,698.0,386.162206894021,0.5532409840888552
2015,2,201502,Italy,44283.0,81134.41573434269,1.8321797469535193
2015,2,201502,Jersey,169.0,312.116428866054,1.846842774355349
2015,2,201502,Latvia,1366.0,1458.00936575133,1.0673567831268889
2015,2,201502,Lithuania,1466.0,933.8587853281535,0.637011449746353
2015,2,201502,Luxembourg,1768.0,4008.75493004795,2.267395322425311
2015,2,201502,Macedonia,375.0,582.749539862299,1.5539987729661306
2015,2,201502,Malta,1142.0,2830.5351743671,2.4785772104790715
2015,2,201502,Moldova,668.0,832.252345116985,1.2458867441871033
2015,2,201502,Montenegro,400.0,877.8752924325411,2.1946882310813525
2015,2,201502,Morocco,1567.0,2141.925926312395,1.3668959325541767
2015,2,201502,Netherlands,17848.0,42768.17953448624,2.3962449313360734
2015,2,201502,Norway,26886.0,20494.887444756445,0.7622884566226454
2015,2,201502,Poland,3275.0,5788.762575759495,1.7675610918349602
2015,2,201502,Portugal,9208.0,27235.353497917837,2.957792517150069
2015,2,201502,Romania,5052.0,11354.26061089101,2.2474783473655995
2015,2,201502,Serbia,2084.0,5680.835264822237,2.725928629953089
2015,2,201502,Slovakia,882.0,1735.770993876984,1.9679943241235647
