YEAR,Country_code,DIST_FLOWN_KM,DIST_DIRECT_KM,HFE_EFF,Year,Country_Code,Pollutant_name,Emissions
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,Ni,0.0
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,PCB,0.0
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,PM10,0.0002509
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,PM2.5,0.00174
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,Pb,0.833333333333333
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,SOx,0.174
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,Se,0.0
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,TSP,0.0002509
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,Zn,0.0
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,benzo(a),0.0
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,benzo(b),0.0
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,benzo(k),0.0
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,dioxin,0.0
2014,BG,639.74544,638.28874152,1.0022821935986699,2014,BG,total PAH,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,As,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,BC,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,CO,0.8107422406569316
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,Cd,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,Cr,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,Cu,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,HCB,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,Hg,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,Indeno,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,NH3,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,NMVOC,0.1072434927091218
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,NOx,3.4400005671949643
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,Ni,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,PCB,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,PM10,0.0443927661251569
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,PM2.5,0.0443927661251569
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,Pb,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,SOx,0.205967311508402
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,Se,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,TSP,0.0443927661251569
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,Zn,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,benzo(a),0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,benzo(b),0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,benzo(k),0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,dioxin,0.0
2014,CY,219.75738,210.4052282,1.0444482861952,2014,CY,total PAH,0.0
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,As,3.2539755492232773e-06
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,BC,0.615357983147474
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,CO,34.12891699731892
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,Cd,2.169317032815514e-06
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,Cr,6.833348653368865e-05
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,Cu,4.880963323834935e-05
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,HCB,0.0
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,Hg,9.436529092747496e-05
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,Indeno,9.653460796029058e-05
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,NH3,1.4373261956608434
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,NMVOC,2.951007756738474
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,NOx,130.72541472217858
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,Ni,2.494714587737848e-05
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,PCB,0.0
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,PM10,1.2843054182907814
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,PM2.5,1.2843054182907814
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,Pb,4.475032000000004
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,SOx,7.102298848535327
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,Se,2.169317032815514e-06
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,TSP,1.291465469490782
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,Zn,0.0003579373104145
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,benzo(a),5.9656218402426575e-05
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,benzo(b),8.568802279621283e-05
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,benzo(k),4.230168213990255e-05
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,dioxin,0.0
2014,DE,3353.983954,3283.18486,1.0215641509750384,2014,DE,total PAH,0.0002841805312988
2014,DK,388.439522,386.26018248,1.005642154223631,2014,DK,As,2.858202669414192e-07
